FirstName;LastName;UserName;Password;Email;Department;JobTitle;;;
Hannah;Hall;hhall;;hhall@happykoalas.com;Production;Assembler;;;
Kevin;Jackson;kjackson;;kjackson@happykoalas.com;Marketing;SEO Manager;;;
George;Garcia;ggarcia;;ggarcia@happykoalas.com;IT;Developer;;;
Nina;Smith;nsmith;;nsmith@happykoalas.com;Production;Supervisor;;;
Xavier;Lee;xlee;;xlee@happykoalas.com;IT;IT Support;;;
Bob;Clark;bclark;;bclark@happykoalas.com;Production;Supervisor;;;
Wendy;Smith;wsmith;;wsmith@happykoalas.com;Marketing;SEO Manager;;;
Nina;Anderson;nanderson;;nanderson@happykoalas.com;Finance;Accountant;;;
Xavier;Walker;xwalker;;xwalker@happykoalas.com;Finance;Financial Analyst;;;
Uma;Martinez;umartinez;;umartinez@happykoalas.com;Production;Assembler;;;
Rachel;Walker;rwalker;;rwalker@happykoalas.com;RH;Recruiter;;;
Diana;Lee;dlee;;dlee@happykoalas.com;Production;Operator;;;
Yara;Clark;yclark;;yclark@happykoalas.com;Production;Supervisor;;;
Oscar;Walker;owalker;;owalker@happykoalas.com;Production;Assembler;;;
Uma;Robinson;urobinson;;urobinson@happykoalas.com;Production;Supervisor;;;
Steve;Martin;smartin;;smartin@happykoalas.com;Production;Operator;;;
Xavier;Thomas;xthomas;;xthomas@happykoalas.com;Production;Assembler;;;
Yara;Brown;ybrown;;ybrown@happykoalas.com;Production;Operator;;;
Laura;Rodriguez;lrodriguez;;lrodriguez@happykoalas.com;IT;IT Support;;;
Paula;Martinez;pmartinez;;pmartinez@happykoalas.com;Production;Assembler;;;
Hannah;Martinez;hmartinez;;hmartinez@happykoalas.com;Production;Operator;;;
Bob;Harris;bharris;;bharris@happykoalas.com;Marketing;SEO Manager;;;
Laura;Lewis;llewis;;llewis@happykoalas.com;Marketing;Marketing Specialist;;;
Kevin;Martinez;kmartinez;;kmartinez@happykoalas.com;Production;Supervisor;;;
Hannah;Robinson;hrobinson;;hrobinson@happykoalas.com;Production;Supervisor;;;
Victor;Johnson;vjohnson;;vjohnson@happykoalas.com;Finance;Accountant;;;
Charlie;Johnson;cjohnson;;cjohnson@happykoalas.com;Production;Operator;;;
Diana;Taylor;dtaylor;;dtaylor@happykoalas.com;Production;Assembler;;;
Julia;Garcia;jgarcia;;jgarcia@happykoalas.com;IT;Developer;;;
Victor;Garcia;vgarcia;;vgarcia@happykoalas.com;Marketing;Content Creator;;;
Steve;Brown;sbrown;;sbrown@happykoalas.com;Production;Operator;;;
Julia;White;jwhite;;jwhite@happykoalas.com;IT;Developer;;;
Zack;Smith;zsmith;;zsmith@happykoalas.com;Production;Assembler;;;
Charlie;Johnson;cjohnson;;cjohnson@happykoalas.com;Production;Assembler;;;
Yara;Walker;ywalker;;ywalker@happykoalas.com;Marketing;Marketing Specialist;;;
Evan;Lewis;elewis;;elewis@happykoalas.com;Production;Operator;;;
Laura;Smith;lsmith;;lsmith@happykoalas.com;Production;Operator;;;
Yara;Martinez;ymartinez;;ymartinez@happykoalas.com;Finance;Accountant;;;
Zack;Jackson;zjackson;;zjackson@happykoalas.com;Production;Supervisor;;;
Bob;Robinson;brobinson;;brobinson@happykoalas.com;Marketing;Marketing Specialist;;;
Wendy;Harris;wharris;;wharris@happykoalas.com;Marketing;Marketing Specialist;;;
Wendy;Thompson;wthompson;;wthompson@happykoalas.com;IT;IT Support;;;
Paula;Clark;pclark;;pclark@happykoalas.com;Production;Supervisor;;;
Fiona;Smith;fsmith;;fsmith@happykoalas.com;Production;Assembler;;;
Fiona;Martin;fmartin;;fmartin@happykoalas.com;RH;Recruiter;;;
Victor;Robinson;vrobinson;;vrobinson@happykoalas.com;Production;Assembler;;;
Julia;Walker;jwalker;;jwalker@happykoalas.com;Production;Supervisor;;;
Hannah;Thompson;hthompson;;hthompson@happykoalas.com;Production;Operator;;;
Fiona;Taylor;ftaylor;;ftaylor@happykoalas.com;Production;Assembler;;;
Ian;Martinez;imartinez;;imartinez@happykoalas.com;Production;Supervisor;;;
Xavier;Martin;xmartin;;xmartin@happykoalas.com;Production;Assembler;;;
Hannah;Lewis;hlewis;;hlewis@happykoalas.com;Marketing;Content Creator;;;
Nina;Robinson;nrobinson;;nrobinson@happykoalas.com;Production;Operator;;;
Nina;Smith;nsmith;;nsmith@happykoalas.com;Production;Supervisor;;;
Hannah;White;hwhite;;hwhite@happykoalas.com;Production;Assembler;;;
Nina;Harris;nharris;;nharris@happykoalas.com;Production;Operator;;;
Wendy;White;wwhite;;wwhite@happykoalas.com;IT;IT Support;;;
George;Garcia;ggarcia;;ggarcia@happykoalas.com;Finance;Accountant;;;
Uma;Lee;ulee;;ulee@happykoalas.com;Production;Assembler;;;
Bob;Harris;bharris;;bharris@happykoalas.com;Production;Supervisor;;;
Steve;Hall;shall;;shall@happykoalas.com;Production;Operator;;;
Rachel;Thompson;rthompson;;rthompson@happykoalas.com;Production;Assembler;;;
Alice;Jackson;ajackson;;ajackson@happykoalas.com;Production;Supervisor;;;
Steve;Jackson;sjackson;;sjackson@happykoalas.com;Production;Assembler;;;
Fiona;Lee;flee;;flee@happykoalas.com;Production;Supervisor;;;
Ian;Hall;ihall;;ihall@happykoalas.com;Production;Operator;;;
Zack;Clark;zclark;;zclark@happykoalas.com;Production;Supervisor;;;
Yara;Clark;yclark;;yclark@happykoalas.com;Production;Operator;;;
Julia;Thomas;jthomas;;jthomas@happykoalas.com;Marketing;Content Creator;;;
Tina;Thomas;tthomas;;tthomas@happykoalas.com;Marketing;SEO Manager;;;
Zack;Anderson;zanderson;;zanderson@happykoalas.com;Production;Operator;;;
Uma;Lee;ulee;;ulee@happykoalas.com;Marketing;SEO Manager;;;
Charlie;Robinson;crobinson;;crobinson@happykoalas.com;Production;Assembler;;;
Uma;White;uwhite;;uwhite@happykoalas.com;Marketing;SEO Manager;;;
Uma;Anderson;uanderson;;uanderson@happykoalas.com;Finance;Financial Analyst;;;
Zack;Martinez;zmartinez;;zmartinez@happykoalas.com;Marketing;SEO Manager;;;
Charlie;Jackson;cjackson;;cjackson@happykoalas.com;Production;Supervisor;;;
Victor;Garcia;vgarcia;;vgarcia@happykoalas.com;Production;Supervisor;;;
Rachel;Johnson;rjohnson;;rjohnson@happykoalas.com;Production;Supervisor;;;
Yara;Robinson;yrobinson;;yrobinson@happykoalas.com;IT;Developer;;;
Xavier;Lewis;xlewis;;xlewis@happykoalas.com;Marketing;Marketing Specialist;;;
Alice;Harris;aharris;;aharris@happykoalas.com;IT;Developer;;;
